asset,entry_time_utc,exit_time_utc,side,entry_px,exit_px,holding_days,ecdf,signed_vpin,d25,vpin
arbusdt,2025-07-21T12:43:00,2025-07-22T06:58:00,-1,0.4935,0.4639,0.7604166666666666,0.8174712643678161,-0.03406866245250937,-8.529494910383684e-05,0.130411239705359
suiusdt,2025-07-21T14:31:00,2025-07-22T09:55:00,-1,4.0389,3.8563,0.8083333333333333,0.9369959088252484,-0.05948787450102051,-0.00026663796451290023,0.16064976322293067
linkusdt,2025-07-21T15:35:00,2025-07-22T11:04:00,-1,19.914,19.225,0.8118055555555556,0.9334966088922382,-0.04203025829352927,-0.00466888356759923,0.13494455964214572
avaxusdt,2025-07-22T02:31:00,2025-07-22T17:12:00,-1,25.941,24.76,0.6118055555555556,0.9203969128996692,-0.037164894662492294,-0.00014473576029942758,0.12395039056976738
suiusdt,2025-07-22T10:15:00,2025-07-23T12:58:00,-1,3.8425,3.837,1.1131944444444444,0.9126658058457565,-0.049396467525734344,-0.006041093208206061,0.15677414511774618
arbusdt,2025-07-22T14:41:00,2025-07-23T14:24:00,-1,0.4751,0.4424,0.9881944444444445,0.9538220130015691,-0.06032428374973369,-0.0016974352898485867,0.15462361452833984
avaxusdt,2025-07-22T17:23:00,2025-07-23T17:08:00,-1,24.84,23.591,0.9895833333333334,0.8546524297232513,-0.08005341728401712,-0.004222997338037965,0.12042496773105045
fetusdt,2025-07-22T23:15:00,2025-07-24T14:37:00,-1,0.822,0.7402,1.6402777777777777,0.9798194370685077,-0.07712254157135408,-0.0013199270226848525,0.13837146983954063
linkusdt,2025-07-23T17:44:00,2025-07-24T14:15:00,-1,17.895,17.866,0.8548611111111111,0.8064218490496402,-0.032689113415315524,-0.00019070384784979078,0.12082265420158574
suiusdt,2025-07-24T01:35:00,2025-07-24T23:26:00,-1,3.7481,3.722,0.9104166666666667,0.8971592952175477,-0.05496113739274744,-0.002143367599329843,0.1560772657183822
arbusdt,2025-07-24T04:38:00,2025-07-25T04:10:00,-1,0.4336,0.4199,0.9805555555555555,0.8995852433966383,-0.04306114179001009,-0.00178010764022421,0.14171280343236523
suiusdt,2025-07-26T15:35:00,2025-07-27T10:49:00,1,4.1896,4.2129,0.8013888888888889,0.8348499754058042,0.029708704471061317,0.01736021468981319,0.1517803165413032
avaxusdt,2025-07-26T18:47:00,2025-07-28T07:01:00,1,25.418,26.767,1.5097222222222222,0.8024482904178979,0.015190132605701233,0.019507547781338203,0.11664914469014472
suiusdt,2025-07-27T10:56:00,2025-07-27T23:10:00,1,4.2229,4.3207,0.5097222222222222,0.9418432725480532,0.011798852552317994,0.006932034182812852,0.16281686622340572
avaxusdt,2025-07-28T12:22:00,2025-07-29T10:03:00,1,27.365,24.894,0.9034722222222222,0.8001670494884109,0.029575210280900387,0.010211472551592243,0.11755291918029608
