asset,fwd_k,regime,n,mean_ret,median_ret,mean_vol,t_ret,p_ret
ethusdt,10,oos_low_vpin_q20,6291,0.0002437447013395856,0.0006403586226984833,0.0035070497223826675,1.5314593868442368,0.1257061858397443
ethusdt,10,oos_high_vpin_q80,20909,0.00013380383064726686,2.4823091149778713e-05,0.002915758803727656,1.8580995624973953,0.0631689225366805
ethusdt,10,oos_high_vpin_buy_dom,5478,0.0014061386542838978,0.0010475855973483346,0.0028064082276493146,10.652966028156293,3.0471213961854665e-26
ethusdt,10,oos_high_vpin_sell_dom,15431,-0.00031787461947790105,-0.00031228258641072563,0.0029545782228033585,-3.7267890113926305,0.00019462695537180778
ethusdt,25,oos_all,31441,0.00012404515913417877,0.0004763706253481825,0.0031645061342564446,1.247782695035216,0.2121199408718994
ethusdt,25,oos_low_vpin_q20,6288,0.000699442100373117,0.0012688274962357577,0.003570368046458702,2.8126793552925995,0.0049282995586114355
ethusdt,25,oos_high_vpin_q80,20909,0.00019984652856905102,0.00036942149973468125,0.002996975648897492,1.742504746993661,0.08143486429956731
ethusdt,25,oos_high_vpin_buy_dom,5478,0.0026883118761073022,0.002880109548595183,0.0028658443869159964,13.188138555940629,4.0324599451574194e-39
ethusdt,25,oos_high_vpin_sell_dom,15431,-0.0006835578634868457,-0.000682500412301164,0.0030435272044113696,-4.995764874665022,5.924393772764436e-07
ethusdt,50,oos_all,31416,0.00023376020220343242,0.0008901157747550226,0.0031983067798335794,1.6419765864878886,0.10060486569659814
ethusdt,50,oos_low_vpin_q20,6283,0.0006014043956156254,0.0018073785964844084,0.0035994942673579448,1.7303187393642803,0.0836224540778692
ethusdt,50,oos_high_vpin_q80,20909,0.00019979264746653648,0.0007731153642855148,0.003033425134415918,1.2223957848340856,0.22157177226123712
ethusdt,50,oos_high_vpin_buy_dom,5478,0.004688814861944067,0.0049970648165824656,0.0028768260817325156,15.993670953802512,2.6215545976637085e-56
ethusdt,50,oos_high_vpin_sell_dom,15431,-0.0013938087841262256,-0.0009840019392690629,0.00308901774737682,-7.189013276809786,6.825399966318816e-13
ethusdt,100,oos_all,31366,0.0005061912796133815,0.0013495373323447802,0.003223375997059036,2.509086872850491,0.012109371370637941
ethusdt,100,oos_low_vpin_q20,6273,7.112726510253155e-05,0.0014535345561639019,0.0036250480945011943,0.15066897503150634,0.8802416932954802
ethusdt,100,oos_high_vpin_q80,20909,0.00038234288430121795,0.0014821533441714638,0.003059653487342485,1.5902124526321573,0.11180204366011029
ethusdt,100,oos_high_vpin_buy_dom,5478,0.007863672843042098,0.007383655047077912,0.002904283786432844,16.99441960452094,3.668692726997401e-63
ethusdt,100,oos_high_vpin_sell_dom,15431,-0.0022735268269282907,-0.0005978796802924559,0.00311480968082204,-8.171196357615557,3.288536344714361e-16
