,basket,btcusdt,ethusdt,suiusdt,avaxusdt,linkusdt,equity
2024-06-09,0.007373464086934289,0.0011709147417900384,0.0033220408313701447,0.0,0.0,0.0028805085137741065,-0.022462692989806275
2024-06-10,0.009852153735139176,0.0036496043899949242,0.0033220408313701447,0.0,0.0,0.0028805085137741065,-0.012610539254667099
2024-06-11,0.0055244020101709885,0.0036496043899949242,0.00030452040954226324,0.0,0.0,0.001570277210633801,-0.00708613724449611
2024-06-12,0.002106852372187156,0.0006158707408116435,0.0014909816313755124,0.0,0.0,0.0,-0.004979284872308955
2024-06-13,0.007230828886027932,0.0011313585758553817,0.006099470310172551,0.0,0.0,0.0,0.0022515440137189776
2024-06-14,0.006454680107242877,0.002113043254515888,0.004341636852726989,0.0,0.0,0.0,0.008706224120961854
2024-06-15,0.0024313331786161097,0.002113043254515888,0.0003182899241002214,0.0,0.0,0.0,0.011137557299577962
2024-06-16,0.002444407794205108,0.0008305433903166616,0.0016138644038884466,0.0,0.0,0.0,0.01358196509378307
2024-06-17,0.0016138644038884466,0.0,0.0016138644038884466,0.0,0.0,0.0,0.015195829497671516
2024-06-18,4.0346610097211164e-05,0.0,4.0346610097211164e-05,0.0,0.0,0.0,0.015236176107768727
2024-06-19,-0.0005663852286852187,0.0,-0.0005663852286852187,0.0,0.0,0.0,0.014669790879083508
2024-06-20,-0.002112939713229832,0.0,-0.002112939713229832,0.0,0.0,0.0,0.012556851165853675
2024-06-21,-0.001273633104919093,0.0,-0.001273633104919093,0.0,0.0,0.0,0.011283218060934581
2024-06-22,0.0,0.0,0.0,0.0,0.0,0.0,0.011283218060934581
2024-06-23,-2.1283678729756568e-05,0.0,0.0,0.0,-2.1283678729756568e-05,0.0,0.011261934382204825
2024-06-24,-0.0001245873876863799,0.0,0.0,0.0,-0.0001245873876863799,0.0,0.011137346994518444
2024-06-25,-6.0130718362523636e-05,0.0,0.0,0.0,-6.0130718362523636e-05,0.0,0.01107721627615592
2024-06-26,0.0004513129667614348,0.0004513129667614348,0.0,0.0,0.0,0.0,0.011528529242917356
2024-06-27,0.0006544719759682438,0.0006544719759682438,0.0,0.0,0.0,0.0,0.0121830012188856
2024-06-28,0.0006544719759682438,0.0006544719759682438,0.0,0.0,0.0,0.0,0.012837473194853843
2024-06-29,0.0003154191328624731,0.0003154191328624731,0.0,0.0,0.0,0.0,0.013152892327716317
2024-06-30,0.0,0.0,0.0,0.0,0.0,0.0,0.013152892327716317
2024-07-01,0.0,0.0,0.0,0.0,0.0,0.0,0.013152892327716317
2024-07-02,-0.0023431502724793754,0.0,0.0,0.0,-0.0023431502724793754,0.0,0.01080974205523694
2024-07-03,-0.010042072596340181,0.0,0.0,0.0,-0.010042072596340181,0.0,0.0007676694588967595
2024-07-04,0.00670696306483516,0.0028335641794398525,0.011955872593144106,0.0,-0.008082473707748799,0.0,0.007474632523731919
2024-07-05,0.012773862744216366,0.004233953749113432,0.008539908995102933,0.0,0.0,0.0,0.020248495267948287
2024-07-06,0.0002439466483757371,0.0002439466483757371,0.0,0.0,0.0,0.0,0.020492441916324024
2024-07-07,0.0006768461920251665,0.0006768461920251665,0.0,0.0,0.0,0.0,0.02116928810834919
2024-07-08,0.0012921246945317025,0.0012921246945317025,0.0,0.0,0.0,0.0,0.02246141280288089
2024-07-09,0.0022214599434816898,0.0022214599434816898,0.0,0.0,0.0,0.0,0.02468287274636258
2024-07-10,0.0011631811092952737,0.0011631811092952737,0.0,0.0,0.0,0.0,0.025846053855657854
2024-07-11,0.0,0.0,0.0,0.0,0.0,0.0,0.025846053855657854
2024-07-12,0.0,0.0,0.0,0.0,0.0,0.0,0.025846053855657854
2024-07-13,0.0,0.0,0.0,0.0,0.0,0.0,0.025846053855657854
2024-07-14,-0.012032339738112933,-0.012032339738112933,0.0,0.0,0.0,0.0,0.013813714117544921
2024-07-15,-0.014989928685237915,-0.013666123887856702,0.0,0.0,-0.0013238047973812132,0.0,-0.0011762145676929934
2024-07-16,-0.005738871896860566,-0.0004583209045366127,0.0,0.0,-0.005280550992323953,0.0,-0.00691508646455356
2024-07-17,-0.0026693418422883432,-0.00023075405763873963,0.0,0.0,-0.0024385877846496034,0.0,-0.009584428306841903
2024-07-18,-0.0025626342956190304,0.0,0.0,0.0,-0.0025626342956190304,0.0,-0.012147062602460934
2024-07-19,-0.0016944661919076692,0.0013527620373998486,0.0,0.0,-0.0030472282293075178,0.0,-0.013841528794368603
2024-07-20,0.0005870578413189409,0.0036342860706264587,0.0,0.0,-0.0030472282293075178,0.0,-0.01325447095304966
2024-07-21,0.005112339463357381,0.0036342860706264587,-0.000154889715963983,0.0,0.001632943108694905,0.0,-0.00814213148969228
2024-07-22,0.000738987211595054,-0.0030667127572528707,-0.004208324358266707,0.0,0.008014024327114632,0.0,-0.007403144278097226
2024-07-23,0.005719606276552502,-0.003764906455569408,0.0015479437820023387,0.0,0.007936568950119571,0.0,-0.0016835380015447245
2024-07-24,0.017390511688585426,-0.0013804657003754495,0.01363677504659898,0.0,0.005134202342361894,0.0,0.0157069736870407
2024-07-25,0.0032410931139463996,0.0,0.00011906127253073643,0.0,0.003122031841415663,0.0,0.018948066800987103
2024-07-26,-0.004557128027409435,0.0,-0.0027589517890940856,0.0,-0.0017981762383153495,0.0,0.014390938773577668
2024-07-27,-0.000993163165555614,0.0008545629910907494,-0.0002893067501063937,0.0,-0.0015584194065399696,0.0,0.013397775608022054
2024-07-28,0.0021475928571914123,0.0021475928571914123,0.0,0.0,0.0,0.0,0.015545368465213465
2024-07-29,-0.00346855296082746,-0.00346855296082746,0.0,0.0,0.0,0.0,0.012076815504386006
2024-07-30,-0.010227303313368468,-0.010227303313368468,0.0,0.0,0.0,0.0,0.001849512191017538
2024-07-31,0.007080806569720275,0.007080806569720275,0.0,0.0,0.0,0.0,0.008930318760737813
2024-08-01,0.006152432549080121,0.006152432549080121,0.0,0.0,0.0,0.0,0.015082751309817934
2024-08-02,0.006509744196974793,0.006509744196974793,0.0,0.0,0.0,0.0,0.021592495506792726
2024-08-03,0.013699767128360135,0.013699767128360135,0.0,0.0,0.0,0.0,0.03529226263515286
2024-08-04,0.003934345021407105,0.003934345021407105,0.0,0.0,0.0,0.0,0.03922660765655996
2024-08-05,0.029395177802798794,0.029395177802798794,0.0,0.0,0.0,0.0,0.06862178545935876
2024-08-06,0.0,0.0,0.0,0.0,0.0,0.0,0.06862178545935876
2024-08-07,0.0,0.0,0.0,0.0,0.0,0.0,0.06862178545935876
2024-08-08,0.0,0.0,0.0,0.0,0.0,0.0,0.06862178545935876
2024-08-09,0.000742284020893671,0.0,-0.00021918707650794289,0.0009614710974016139,0.0,0.0,0.06936406948025244
2024-08-10,0.0016095153739467218,0.0,-0.0005107271685621971,0.002120242542508919,0.0,0.0,0.07097358485419916
2024-08-11,0.012010044373063276,0.0,-0.0005107271685621971,0.012520771541625472,0.0,0.0,0.08298362922726243
2024-08-12,0.0060528781533022505,0.0,-0.0001752077925484204,0.006228085945850671,0.0,0.0,0.08903650738056468
2024-08-13,-0.00817367221654602,0.0,0.0,-0.00817367221654602,0.0,0.0,0.08086283516401865
2024-08-14,-0.005928379378227346,0.0,0.0,-0.005928379378227346,0.0,0.0,0.0749344557857913
2024-08-15,-0.0001217756373319205,0.0,0.0,-0.0001217756373319205,0.0,0.0,0.07481268014845939
2024-08-16,0.0012281149253309078,-0.0010564554465742964,0.0,0.002284570371905204,0.0,0.0,0.0760407950737903
2024-08-17,-0.0006333628178898912,-0.002240494614237094,0.0,0.0016071317963472027,0.0,0.0,0.07540743225590041
2024-08-18,-0.002240494614237094,-0.002240494614237094,0.0,0.0,0.0,0.0,0.07316693764166332
2024-08-19,-0.001669479667414168,-0.001669479667414168,0.0,0.0,0.0,0.0,0.07149745797424915
2024-08-20,0.0,0.0,0.0,0.0,0.0,0.0,0.07149745797424915
2024-08-21,0.0,0.0,0.0,0.0,0.0,0.0,0.07149745797424915
2024-08-22,0.0031943280962960945,0.0,0.0,0.0,0.0031943280962960945,0.0,0.07469178607054525
2024-08-23,0.005796155668816347,0.0,0.0,0.0,0.005796155668816347,0.0,0.0804879417393616
2024-08-24,-0.0022480924642635505,0.0,-0.0005774596200747494,0.0,-0.0016706328441888013,0.0,0.07823984927509804
2024-08-25,-0.002293823286583214,0.0,-0.0065995385151399934,0.0,-0.001641628801754968,0.005947344030311748,0.07594602598851483
2024-08-26,0.0065269724838015125,0.0,-0.0065995385151399934,0.0,0.006947452266150079,0.006179058732791427,0.08247299847231634
2024-08-27,0.007617714215567091,0.0,-0.0059854147922033555,0.0,0.007719391406833421,0.005883737600937026,0.09009071268788343
2024-08-28,0.0034807048513512736,0.0,0.0,0.0,0.0027017869923916973,0.0007789178589595765,0.0935714175392347
2024-08-29,0.0007789178589595765,0.0,0.0,0.0,0.0,0.0007789178589595765,0.09435033539819428
2024-08-30,0.0007789178589595765,0.0,0.0,0.0,0.0,0.0007789178589595765,0.09512925325715385
2024-08-31,0.0007789178589595765,0.0,0.0,0.0,0.0,0.0007789178589595765,0.09590817111611342
2024-09-01,0.00030453524624600106,0.0,0.0,0.0,0.0,0.00030453524624600106,0.09621270636235943
2024-09-02,0.0,0.0,0.0,0.0,0.0,0.0,0.09621270636235943
2024-09-03,0.0,0.0,0.0,0.0,0.0,0.0,0.09621270636235943
2024-09-04,0.0,0.0,0.0,0.0,0.0,0.0,0.09621270636235943
2024-09-05,0.0,0.0,0.0,0.0,0.0,0.0,0.09621270636235943
2024-09-06,0.0,0.0,0.0,0.0,0.0,0.0,0.09621270636235943
2024-09-07,0.0,0.0,0.0,0.0,0.0,0.0,0.09621270636235943
2024-09-08,-0.0020310570272016825,0.0,0.0,-0.0015359089886999141,0.0,-0.0004951480385017682,0.09418164933515774
