asset,lag,buy_n,buy_mean,buy_t,sell_n,sell_mean,sell_t,spread
linkusdt,0,1408,0.009705362205343702,8.690278826508623,4102,-0.003279088510498347,-4.495453766761137,0.01298445071584205
linkusdt,1,1408,0.009576558111755689,8.555620455386157,4102,-0.003260584813021199,-4.480367559589725,0.012837142924776888
linkusdt,2,1408,0.009440514878312618,8.414423561417234,4102,-0.0032311849246105897,-4.450660446893014,0.012671699802923207
linkusdt,5,1408,0.00912742899601968,8.104623331570696,4102,-0.0033591515219196853,-4.64633580883192,0.012486580517939366
linkusdt,10,1408,0.008357457342179986,7.452977109200132,4102,-0.0038436448404449877,-5.356420741589738,0.012201102182624974
linkusdt,20,1408,0.006447659365876468,5.701242912736438,4102,-0.0034451073813686474,-4.796579183410589,0.009892766747245115
suiusdt,0,875,0.018486668651482834,10.854745749344403,4100,-0.008951491442823457,-11.784740309411893,0.02743816009430629
suiusdt,1,875,0.01832882993190395,10.7316460820007,4100,-0.00905675718367885,-11.922798768017154,0.027385587115582803
suiusdt,2,875,0.018288242482183265,10.692046436137256,4100,-0.00912964348419616,-11.996913553178546,0.027417885966379424
suiusdt,5,875,0.018271599508640466,10.632925124419286,4100,-0.009247122589299418,-12.124970288471866,0.027518722097939884
suiusdt,10,875,0.018012054178772868,10.612279237904241,4100,-0.00917529638866755,-11.985361522564325,0.02718735056744042
suiusdt,20,875,0.016910876857098456,10.460534875106,4100,-0.009308652914021887,-12.070469312857236,0.026219529771120343
avaxusdt,0,1564,0.01408989549588926,13.119434820477236,5194,-0.0013873942790686605,-1.9710013588525113,0.01547728977495792
avaxusdt,1,1564,0.01401457632539207,13.095033880134704,5194,-0.0013006230524412377,-1.8442130613608645,0.015315199377833308
avaxusdt,2,1564,0.013884848980367322,13.02409149241506,5194,-0.0012033416625145071,-1.703341261296526,0.015088190642881829
avaxusdt,5,1564,0.013651725815596902,12.884765182338205,5194,-0.0008350851461720995,-1.1753706193260054,0.014486810961769002
avaxusdt,10,1564,0.013105240503406737,12.468642996879373,5194,-0.00023126168485288859,-0.322504134539158,0.013336502188259625
avaxusdt,20,1564,0.01174665431582712,10.993789143489025,5194,0.0005901781609681857,0.8070300390128046,0.011156476154858935
arbusdt,0,412,0.00644298538374844,1.4373589877021546,3529,-0.015211266370690361,-12.651864721426943,0.021654251754438802
arbusdt,1,412,0.006804647576226283,1.5181265700032265,3529,-0.015091267247983566,-12.576102025504643,0.02189591482420985
arbusdt,2,412,0.007483870434647993,1.665489022779485,3529,-0.015026629351093519,-12.55271128226992,0.02251049978574151
arbusdt,5,412,0.009729037121650866,2.1773883216259406,3529,-0.01463008838878254,-12.291687120107362,0.024359125510433406
arbusdt,10,412,0.011948045009859472,2.685643895215801,3529,-0.014006796068349463,-11.862608920031462,0.025954841078208935
arbusdt,20,412,0.015681412646457903,3.487885528454413,3529,-0.01215945533081872,-10.560687302723624,0.027840867977276623
opusdt,0,123,-0.12103173400528645,-11.676916139344305,3268,-0.02495357704424218,-18.826029101011596,-0.09607815696104427
opusdt,1,123,-0.11944651160219807,-11.612332137715487,3268,-0.024750715250418064,-18.621126358619712,-0.09469579635178
opusdt,2,123,-0.11819098831433049,-11.57745939637735,3268,-0.02455163088020599,-18.410582054419667,-0.09363935743412449
opusdt,5,123,-0.11315945152729338,-11.276866548764012,3268,-0.024144040014431264,-17.987640491286523,-0.08901541151286212
opusdt,10,123,-0.10515079130751663,-10.783761910969583,3265,-0.02314531338191321,-17.13639464041431,-0.08200547792560342
opusdt,20,123,-0.08361426324203541,-9.10110873572927,3263,-0.020989966964812406,-15.377669830442702,-0.062624296277223
injusdt,0,148,-0.039462172099415736,-4.752456360845368,1865,-0.0024194184871937255,-0.9255046935410757,-0.037042753612222014
injusdt,1,148,-0.03979526561703959,-4.801826933067673,1865,-0.002099696182834908,-0.8006419908896459,-0.037695569434204684
injusdt,2,148,-0.039653874442200095,-4.75133699002677,1865,-0.0018664637923377066,-0.7092647587572761,-0.03778741064986239
injusdt,5,148,-0.039235550505484953,-4.6331696968017155,1865,-0.0011395526993196333,-0.4297539535636986,-0.03809599780616532
injusdt,10,148,-0.04354227077364099,-5.193530535133683,1865,0.0006906323617279078,0.25896659819738277,-0.0442329031353689
