sharpe,sortino,calmar,max_drawdown,max_dd_duration,profit_factor,win_rate,payoff_ratio,expectancy,tail_ratio,time_in_market,skewness,kurtosis,total_return,n_trades,mean_return,std_return,t_stat,p_value,asset,timeframe,strategy,type,holding,grade,pass_raw,pass_bonf
1.8374,3.1079,3.9722,-0.4661,107,1.3962,0.5186,1.2958,0.005138,1.146,0.0286,1.1738,8.8771,2.4345,295,0.005138,0.044264,1.9939,0.04709168,TIA,1h,engulfing_strong,priceaction,12h,C,True,False
1.7024,2.7797,3.5222,-0.546,73,1.4248,0.5577,1.13,0.007991,1.2413,0.0202,0.4998,2.9362,2.5362,208,0.007991,0.062385,1.8473,0.06612671,TIA,1h,engulfing_strong,priceaction,1d,C,False,False
-2.4124,-2.9386,-0.9164,-0.7423,831,0.7684,0.4429,0.9667,-0.001463,0.9335,0.0814,-1.8631,19.1341,-0.7388,840,-0.001463,0.016194,-2.6178,0.00900893,TIA,1h,pinbar,priceaction,2h,F,False,False
-1.5385,-2.0363,-0.8919,-0.702,722,0.8409,0.4756,0.9272,-0.001331,0.9776,0.0715,-0.6294,7.6976,-0.686,738,-0.001331,0.021658,-1.6695,0.0954476,TIA,1h,pinbar,priceaction,4h,F,False,False
-0.1341,-0.1885,-0.5115,-0.5945,297,0.9834,0.4931,1.0109,-0.000198,1.0969,0.0562,-0.15,2.7409,-0.3474,580,-0.000198,0.032724,-0.1455,0.88434502,TIA,1h,pinbar,priceaction,8h,F,False,False
-0.9769,-1.4758,-0.864,-0.7065,400,0.8802,0.4716,0.9863,-0.001712,0.9182,0.046,-0.1045,1.0998,-0.6705,475,-0.001712,0.035198,-1.0601,0.2896403,TIA,1h,pinbar,priceaction,12h,F,False,False
-0.5584,-0.996,-0.9079,-0.7074,301,0.9018,0.4276,1.207,-0.002155,0.8967,0.0295,1.7855,10.7839,-0.7019,304,-0.002155,0.062015,-0.6059,0.54502374,TIA,1h,pinbar,priceaction,1d,F,False,False
-0.9897,-1.538,-0.6558,-0.404,200,0.8721,0.4537,1.0502,-0.000756,0.9382,0.0408,0.0273,0.5027,-0.304,421,-0.000756,0.014449,-1.074,0.28344581,TIA,1h,pinbar_strict,priceaction,2h,F,False,False
0.0176,0.0297,-0.1593,-0.3727,188,1.0026,0.5038,0.9873,2e-05,1.0118,0.0379,0.7166,4.4761,-0.0695,391,2e-05,0.020303,0.019,0.98481574,TIA,1h,pinbar_strict,priceaction,4h,D,False,False
-0.2062,-0.3136,-0.4929,-0.4468,161,0.9663,0.4779,1.0558,-0.000379,1.2333,0.0328,0.3345,3.3609,-0.2539,339,-0.000379,0.031221,-0.2238,0.82307453,TIA,1h,pinbar_strict,priceaction,8h,F,False,False
-0.9062,-1.2436,-0.8108,-0.6136,142,0.8573,0.4881,0.8993,-0.002091,0.8934,0.0284,-0.4778,2.1209,-0.5553,293,-0.002091,0.03639,-0.9834,0.3262364,TIA,1h,pinbar_strict,priceaction,12h,F,False,False
0.5049,0.8055,0.1349,-0.5121,89,1.1226,0.5321,0.9871,0.002477,0.9318,0.0211,1.5331,10.9462,0.0818,218,0.002477,0.066757,0.5479,0.58433201,TIA,1h,pinbar_strict,priceaction,1d,C,False,False
0.188,0.351,0.0777,-0.1913,27,1.1195,0.5111,1.0708,0.000953,1.6393,0.0025,0.7111,1.9381,0.0313,45,0.000953,0.023513,0.272,0.78689972,INJ,1h,rsi_bb_combo,combo,2h,D,False,False
-0.439,-0.4697,-0.3454,-0.325,33,0.7445,0.4667,0.8509,-0.004401,0.7136,0.0025,-1.4989,4.6871,-0.2205,45,-0.004401,0.046494,-0.635,0.52873598,INJ,1h,rsi_bb_combo,combo,4h,F,False,False
-0.7812,-1.0072,-0.4105,-0.4888,34,0.6047,0.4318,0.7956,-0.009156,0.6644,0.0024,-0.102,1.3435,-0.3741,44,-0.009156,0.053744,-1.13,0.26472143,INJ,1h,rsi_bb_combo,combo,8h,F,False,False
-0.449,-0.614,-0.3063,-0.5486,33,0.7619,0.4651,0.8762,-0.006658,0.826,0.0023,-0.1503,0.6431,-0.3195,43,-0.006658,0.067233,-0.6494,0.51960526,INJ,1h,rsi_bb_combo,combo,12h,F,False,False
-0.5634,-0.6679,-0.3241,-0.5244,32,0.6962,0.4524,0.8428,-0.007443,0.5822,0.0023,-0.8403,1.9071,-0.3228,42,-0.007443,0.059189,-0.815,0.41978345,INJ,1h,rsi_bb_combo,combo,1d,F,False,False
0.3217,0.5686,0.1598,-0.2198,51,1.1555,0.557,0.9192,0.001152,1.2958,0.0043,0.5329,1.4673,0.0749,79,0.001152,0.022007,0.4653,0.64300191,INJ,1h,rsi_bb_tight,combo,2h,D,False,False
0.2007,0.2039,0.088,-0.2106,57,1.1042,0.5844,0.7852,0.001293,0.9326,0.0042,-1.7692,6.9501,0.0392,77,0.001293,0.0391,0.2903,0.77238485,INJ,1h,rsi_bb_tight,combo,4h,D,False,False
0.2692,0.3368,0.1469,-0.2498,58,1.1367,0.5526,0.9202,0.002102,0.8282,0.0041,-0.3803,1.9994,0.0783,76,0.002102,0.047069,0.3894,0.6981192,INJ,1h,rsi_bb_tight,combo,8h,D,False,False
0.1627,0.2072,-0.0043,-0.4,57,1.0796,0.5467,0.8953,0.001515,0.7752,0.0041,-0.3937,1.7342,-0.0036,75,0.001515,0.055738,0.2354,0.81455689,INJ,1h,rsi_bb_tight,combo,12h,D,False,False
0.6107,0.7629,0.5662,-0.263,41,1.3221,0.5634,1.0246,0.005505,0.9938,0.0039,-0.9233,2.4083,0.3371,71,0.005505,0.052515,0.8833,0.38007861,INJ,1h,rsi_bb_tight,combo,1d,C,False,False
-1.9927,-3.0684,-0.83,-0.9691,2015,0.8219,0.4467,1.018,-0.001443,0.9646,0.11,1.9695,28.6748,-0.9671,2017,-0.001443,0.02249,-2.8824,0.00398811,INJ,1h,ema_3_8_13_vol,combo,2h,F,False,False
-0.5095,-0.7906,-0.6247,-0.7739,1478,0.9453,0.4783,1.031,-0.000534,1.0129,0.0817,1.0349,10.5621,-0.749,1499,-0.000534,0.028052,-0.737,0.46123359,INJ,1h,ema_3_8_13_vol,combo,4h,F,False,False
-1.0741,-1.4563,-0.7808,-0.9354,1088,0.8723,0.4591,1.0275,-0.00178,0.9952,0.0594,-0.616,11.2133,-0.9356,1089,-0.00178,0.037803,-1.5537,0.12055079,INJ,1h,ema_3_8_13_vol,combo,8h,F,False,False
-0.9974,-1.4651,-0.7742,-0.9358,842,0.8758,0.4791,0.9522,-0.002152,0.9326,0.047,-0.1985,3.584,-0.9326,862,-0.002152,0.043801,-1.4427,0.14947212,INJ,1h,ema_3_8_13_vol,combo,12h,F,False,False
0.1662,0.2606,-0.3403,-0.7459,571,1.0264,0.5,1.0264,0.000556,1.0876,0.0323,0.041,1.9339,-0.4581,592,0.000556,0.056305,0.2404,0.8101289,INJ,1h,ema_3_8_13_vol,combo,1d,D,False,False
-1.165,-1.76,-0.7187,-0.8855,1864,0.8869,0.4649,1.0209,-0.000884,0.9846,0.1017,1.9568,29.6823,-0.8796,1865,-0.000884,0.022649,-1.6851,0.09212997,INJ,1h,ema_5_13_34_vol,combo,2h,F,False,False
-0.2602,-0.3994,-0.5579,-0.6467,1393,0.9707,0.4864,1.0251,-0.000283,1.0065,0.076,1.0016,11.0584,-0.608,1394,-0.000283,0.028075,-0.3764,0.70669919,INJ,1h,ema_5_13_34_vol,combo,4h,F,False,False
-0.7452,-1.1157,-0.7142,-0.8688,1007,0.9061,0.4772,0.9927,-0.001292,0.9868,0.055,0.5822,5.651,-0.8683,1008,-0.001292,0.038044,-1.0779,0.28131894,INJ,1h,ema_5_13_34_vol,combo,8h,F,False,False
-0.5835,-0.9377,-0.6892,-0.8471,801,0.923,0.4722,1.0317,-0.001305,0.9467,0.0441,0.3728,2.0781,-0.8403,809,-0.001305,0.04397,-0.844,0.39891333,INJ,1h,ema_5_13_34_vol,combo,12h,F,False,False
-0.1575,-0.2575,-0.5736,-0.7949,547,0.9752,0.4788,1.0616,-0.000557,1.0575,0.0309,0.1801,1.2846,-0.7202,566,-0.000557,0.058199,-0.2278,0.8198642,INJ,1h,ema_5_13_34_vol,combo,1d,F,False,False
