strategy,variant,strategy_type,timeframe,asset,holding_period,holding_bars,n_trades,n_long,n_short,mean_return,std_return,sharpe,t_stat,p_value,win_rate,max_drawdown,profit_factor,total_return,mean_long,mean_short,mean_price_ret,mean_funding_ret,total_funding_pnl,test_bars
funding_carry,zscore_2.0,carry,1d,AVAX,3d,3,34,26,8,0.0006576319489146144,0.08126748847539787,0.028679626025250413,0.047185169993229636,0.962650054803699,0.5882352941176471,-0.22322718489077742,1.0211497473621145,-0.08338207873161463,-0.004201573962244503,0.01645005116018175,0.0011390513606793218,0.0005185805882352942,0.017631740000000003,988
funding_carry,extreme_90,carry,1d,AVAX,3d,3,52,44,8,-0.014781308239788748,0.09703768001474156,-0.667639618805691,-1.0984344384346447,0.27717357872236953,0.36538461538461536,-0.5960246304284897,0.6676298687587531,-0.6383945541578888,-0.016303536039889193,-0.006409055339236313,-0.014217105162865671,0.000435796923076923,0.022661439999999998,988
funding_carry,extreme_90,carry,1d,AVAX,1w,7,33,29,4,-0.029638229897516646,0.13456665845954607,-0.769023699801918,-1.265236651692325,0.21492241270572035,0.3939393939393939,-0.7648118367510056,0.5646760258780129,-0.7261357131116527,-0.028086570467673475,-0.040887760763879635,-0.029324940200546948,0.0006867103030303031,0.02266144,988
funding_carry,simple_0.01_7d,carry,1d,LINK,3d,3,39,0,39,-0.00031490259337811177,0.09234827899657132,-0.011249217004995102,-0.021295102482741305,0.9831216791570859,0.48717948717948717,-0.5376800684045921,0.9901123739646881,-0.16074001060703036,0.0,-0.00031490259337811177,3.6722784167598805e-06,0.0006814251282051282,0.02657558,1308
funding_carry,zscore_1.5,carry,1d,LINK,3d,3,59,46,13,-0.026844701377272878,0.08400533920346345,-1.2966425033215476,-2.454582837138771,0.017126523202255637,0.3389830508474576,-0.842697460861603,0.4100353696007293,-0.8388614139127495,-0.02497090379944353,-0.03347506203728444,-0.02611036290269662,0.00026566152542372877,0.01567403,1308
funding_carry,zscore_1.5,carry,1d,LINK,1w,7,40,33,7,-0.0419206200613078,0.11510937083830183,-1.216716992918006,-2.303281467961427,0.026681324383537933,0.425,-0.8657707293789023,0.4078799729458969,-0.8641354175159934,-0.035426615530529525,-0.0725352128492625,-0.0413124708113078,0.00039185074999999994,0.01567403,1308
funding_carry,zscore_2.0,carry,1d,LINK,3d,3,35,24,11,-0.03510546959345499,0.0894915604598629,-1.225940205664215,-2.320741284103602,0.026432772746699966,0.3142857142857143,-0.7522647878032337,0.33173204240879095,-0.7544161239295472,-0.03470953080615786,-0.03596933603846691,-0.034461830450597856,0.0003563608571428572,0.012472630000000002,1308
funding_carry,extreme_90,carry,1d,LINK,3d,3,58,49,9,-0.026010627510649118,0.07883683160588204,-1.327327904773758,-2.5126712150550943,0.014835660810203908,0.3275862068965517,-0.8189298416497927,0.4028236300228203,-0.8197590930046889,-0.02503928932133554,-0.03129902431913417,-0.02520609078651119,0.00019546327586206894,0.011336869999999999,1308
funding_carry,extreme_90,carry,1d,LINK,1w,7,37,33,4,-0.035155299707959164,0.11895892465111423,-0.949592328410578,-1.7976065304233146,0.08063145369185264,0.4594594594594595,-0.7593669823334239,0.4797787890129339,-0.7989166172622375,-0.03123929661403317,-0.06746232523284858,-0.034461701599851055,0.0003064018918918919,0.01133687,1308
funding_carry,simple_0.01_7d,carry,1d,OP,3d,3,38,1,37,0.009170919424323127,0.10228930112089359,0.3932359952635273,0.5526809109056487,0.5838057301723538,0.5526315789473685,-0.39710722347690464,1.267164446373007,0.17203241547553327,-0.03172999221329331,0.010276349468583029,0.0094131410032705,0.0007577784210526316,0.02879558,721
funding_carry,zscore_1.5,carry,1d,OP,3d,3,56,46,10,0.0070067380910067475,0.11371475243199707,0.3280740555165916,0.4610978395452032,0.6465467023794486,0.5178571428571429,-0.3360738323009702,1.1888803269207489,0.0688559827774764,0.011169415344471337,-0.012141577274930362,0.007702057019578177,0.00030468107142857145,0.01706214,721
funding_carry,zscore_1.5,carry,1d,OP,1w,7,37,31,6,-0.03021306096346201,0.0961303047469859,-1.3602353896068446,-1.9117683610581173,0.06389100254017151,0.32432432432432434,-0.7272817288789531,0.43776746501002534,-0.7320613774039272,-0.025825177323454875,-0.05288379310349891,-0.029668870963462015,0.00045581,0.01686497,721
funding_carry,zscore_1.5,carry,1d,OP,2w,14,30,27,3,-0.02811020484432137,0.1579724236570991,-0.6934611833675969,-0.9746380369998143,0.33780015430042,0.43333333333333335,-0.7475380048439877,0.6451028220600715,-0.7157767552139784,-0.01700653261255029,-0.1280432549302611,-0.02767237051098804,0.0005621656666666666,0.01686497,721
funding_carry,zscore_2.0,carry,1d,OP,3d,3,32,23,9,0.03165548635554464,0.12079541154367816,1.0547568187610736,1.482427769579319,0.14832186967786928,0.53125,-0.20008295773069418,2.3506843844924528,1.2497919800491504,0.044458390711261155,-0.001063046997953121,0.03225684323054464,0.000398643125,0.01275658,721
funding_carry,extreme_90,carry,1d,OP,3d,3,67,59,8,4.087199423378066e-05,0.10813887432491887,0.002201203451733865,0.0030937227096355974,0.9975409024814149,0.47761194029850745,-0.4786156485657108,1.0010561001819902,-0.29973626539806075,0.002486298293303378,-0.017994146961404472,0.0008489548300546788,0.00019191716417910445,0.012858449999999999,721
funding_carry,extreme_90,carry,1d,OP,1w,7,42,38,4,-0.03247309263495095,0.12181230029648536,-1.2292379283875625,-1.727655520257565,0.09157681371305221,0.38095238095238093,-0.7908461928959275,0.47985021164472025,-0.8168646493060417,-0.027698763524864566,-0.07782921918077147,-0.031774551682569985,0.0003014590476190476,0.01266128,721
funding_carry,simple_0.01_7d,carry,1d,ARB,3d,3,40,0,40,0.011188708450923101,0.3127324423874162,0.1195307313270011,0.22627523073963607,0.8221691233689762,0.4,-0.8577979962337029,1.187014142192462,-0.6897078510658792,0.0,0.011188708450923101,0.011356701200923098,0.0008320072500000001,0.033280290000000004,1308
funding_carry,zscore_1.5,carry,1d,ARB,3d,3,46,35,11,-0.028857523860222577,0.11949899051295985,-0.8651995860197361,-1.6378485581827082,0.10842805349610428,0.17391304347826086,-0.8218284347413695,0.269967471763723,-0.8414767925137048,-0.015122193251068469,-0.07256084852571293,-0.028174942121092145,0.00031741826086956524,0.014601240000000001,1308
funding_carry,zscore_1.5,carry,1d,ARB,1w,7,32,26,6,0.01563375568315408,0.2654735867703106,0.1759784761026854,0.3331324910613154,0.7412769310231958,0.1875,-0.6316151901708392,1.3679507603391543,-0.24696752348477924,0.036846742400020734,-0.07628918675660144,0.01617943662065408,0.00045431906250000003,0.014538210000000001,1308
funding_carry,zscore_2.0,carry,1d,ARB,3d,3,33,22,11,-0.03582615512170807,0.13634417213126315,-0.7973759872972708,-1.5094564678797215,0.14099385977502982,0.18181818181818182,-0.7982992328346482,0.2389887271460906,-0.8120987943433089,-0.01737170751212862,-0.07273505034086697,-0.03518655966716262,0.0003604045454545455,0.011893350000000002,1308
funding_carry,extreme_90,carry,1d,ARB,3d,3,59,49,10,-0.0005519191741224075,0.16972167649451309,-0.013194919198786433,-0.02497837462508531,0.9801579548848122,0.22033898305084745,-0.701329843416379,0.9808221510608494,-0.5725893682140146,-0.007843187544734766,0.03517529584187814,0.0002659581140131852,0.00018212271186440678,0.01074524,1308
funding_carry,extreme_90,carry,1d,ARB,1w,7,37,32,5,0.017120363295705408,0.23407374498342517,0.2350193901245415,0.44489869791925585,0.6590565305172653,0.21621621621621623,-0.5974969625556793,1.5593190561894739,-0.08099942257880954,0.02755864674535773,-0.04968465078206945,0.017831654917327022,0.00028870837837837837,0.01068221,1308
funding_carry,simple_0.03,carry,1d,FET,3d,3,37,20,17,-0.03697780001304818,0.11031853520609368,-1.4074257484822472,-2.038888351372945,0.0488557381380144,0.43243243243243246,-0.76170119812266,0.3702957026001481,-0.8097352657049434,-0.012764575888947879,-0.06546394604140143,-0.03720952379683194,0.0012317237837837839,0.04557378,766
funding_carry,simple_0.01_7d,carry,1d,FET,3d,3,97,55,42,-0.012723323754172932,0.10972072607146584,-0.7883695104351901,-1.1420832773148426,0.25625998916114284,0.38144329896907214,-0.8166095208711764,0.7371537336990256,-0.8411880289418477,-0.011169622494317223,-0.014757932546841128,-0.012469626228399736,0.0007463024742268041,0.07239134,766
funding_carry,simple_0.01_7d,carry,1d,FET,1w,7,45,26,19,-0.0030452277640434376,0.1898522680278052,-0.07427493754479833,-0.10759949867504678,0.9148025455713183,0.4444444444444444,-0.6237834854016828,0.9577962869842845,-0.6162718798026634,0.0024691993315027294,-0.01059128589479082,-0.003637429986265656,0.001592202222222222,0.0716491,766
