sharpe,sortino,calmar,max_drawdown,max_dd_duration,profit_factor,win_rate,payoff_ratio,expectancy,tail_ratio,time_in_market,skewness,kurtosis,total_return,n_trades,mean_return,std_return,t_stat,p_value,asset,timeframe,strategy,holding,grade
0.0579,0.0932,-0.1688,-0.6697,241,1.0147,0.4961,1.0308,0.000265,1.1107,0.0554,0.4251,1.3747,-0.222,254,0.000265,0.050394,0.0837,0.93335504,BNB,4h,EWMAC_8_32,3d,D
0.7936,1.3729,0.8357,-0.389,85,1.3308,0.5138,1.2595,0.008033,1.3622,0.0238,0.2243,0.634,0.802,109,0.008033,0.073067,1.1479,0.2535604,BNB,4h,EWMAC_8_32,1w,C
0.0488,0.0874,-0.1661,-0.6366,723,1.007,0.4529,1.2165,7.1e-05,1.2101,0.1666,0.8176,3.5337,-0.2084,764,7.1e-05,0.027639,0.0706,0.94373533,BNB,4h,EWMAC_16_64,1d,D
-0.1627,-0.2481,-0.2859,-0.7566,241,0.9598,0.5039,0.9448,-0.000744,1.0867,0.0554,0.2717,1.4102,-0.3994,254,-0.000744,0.050409,-0.2353,0.81413336,BNB,4h,EWMAC_16_64,3d,F
0.4408,0.7466,0.1848,-0.5412,85,1.172,0.5046,1.1507,0.004484,1.2253,0.0238,0.2154,0.6661,0.2207,109,0.004484,0.073422,0.6376,0.5251035,BNB,4h,EWMAC_16_64,1w,D
-0.7501,-1.2001,-0.4784,-0.8677,723,0.8988,0.4346,1.1695,-0.001086,1.0737,0.1666,0.2123,3.6521,-0.6744,764,-0.001086,0.02766,-1.085,0.2782716,BNB,4h,DualMom_63,1d,F
-0.3814,-0.5706,-0.3732,-0.8215,241,0.9084,0.4606,1.0637,-0.001745,1.0794,0.0554,0.1656,1.4261,-0.5352,254,-0.001745,0.050405,-0.5517,0.58166559,BNB,4h,DualMom_63,3d,F
0.0002,0.0003,-0.1693,-0.7699,103,1.0001,0.4771,1.0962,2e-06,1.0251,0.0238,0.2203,0.7107,-0.2534,109,2e-06,0.073622,0.0002,0.99982395,BNB,4h,DualMom_63,1w,D
-1.098,-1.7256,-0.5752,-0.9093,722,0.8545,0.4613,0.9977,-0.001629,1.0249,0.1664,0.3564,1.8539,-0.7875,763,-0.001629,0.028325,-1.5881,0.11266884,BNB,4h,DualMom_126,1d,F
-0.4821,-0.7306,-0.3943,-0.8735,236,0.8857,0.4449,1.1052,-0.002205,1.1313,0.0554,0.1613,1.4328,-0.5866,254,-0.002205,0.050396,-0.6973,0.48624862,BNB,4h,DualMom_126,3d,F
0.4222,0.8169,0.1172,-0.7787,99,1.1641,0.4954,1.1857,0.004296,1.3622,0.0238,0.4898,0.5882,0.2006,109,0.004296,0.073436,0.6107,0.54267886,BNB,4h,DualMom_126,1w,D
-0.4905,-0.7912,-0.6395,-0.8601,541,0.9357,0.4764,1.0282,-0.001161,1.0029,0.1666,0.0823,0.6433,-0.8119,764,-0.001161,0.045229,-0.7094,0.47828332,AVAX,4h,EWMAC_8_32,1d,F
-0.0382,-0.0672,-0.4306,-0.7867,182,0.9914,0.4843,1.0559,-0.000275,1.1022,0.0554,0.133,-0.244,-0.5791,254,-0.000275,0.07922,-0.0553,0.95593297,AVAX,4h,EWMAC_8_32,3d,F
0.2918,0.4485,-0.1894,-0.6606,62,1.111,0.5046,1.0908,0.004873,1.1092,0.0238,-0.1501,0.6585,-0.244,109,0.004873,0.120527,0.4221,0.67377306,AVAX,4h,EWMAC_8_32,1w,D
-0.0749,-0.1261,-0.4443,-0.7969,460,0.9899,0.4791,1.0764,-0.000177,1.1263,0.1666,0.1917,0.6286,-0.5992,764,-0.000177,0.045221,-0.1084,0.91371307,AVAX,4h,EWMAC_16_64,1d,F
0.4599,0.8392,0.0341,-0.7314,120,1.1097,0.4921,1.1453,0.003302,1.143,0.0554,0.1754,-0.2787,0.0528,254,0.003302,0.079106,0.6652,0.50654082,AVAX,4h,EWMAC_16_64,3d,D
